s_e esize chi2ndf_e s_m msize chi2ndf_m log10_NeNm_0_300 log10_NeNm_100_300 log10_NeNm_50_450 log10_NeNm_50_600 log10_NeNm_20_600 log10_NeNm_300_600 log10_NeNm_0_600 e_mean_0_300 e_var_0_300 e_skew_0_300 e_kurt_0_300 m_mean_0_300 m_var_0_300 m_skew_0_300 m_kurt_0_300 e_mean_100_300 e_var_100_300 e_skew_100_300 e_kurt_100_300 m_mean_100_300 m_var_100_300 m_skew_100_300 m_kurt_100_300 e_mean_50_450 e_var_50_450 e_skew_50_450 e_kurt_50_450 m_mean_50_450 m_var_50_450 m_skew_50_450 m_kurt_50_450 e_mean_50_600 e_var_50_600 e_skew_50_600 e_kurt_50_600 m_mean_50_600 m_var_50_600 m_skew_50_600 m_kurt_50_600 e_mean_20_600 e_var_20_600 e_skew_20_600 e_kurt_20_600 m_mean_20_600 m_var_20_600 m_skew_20_600 m_kurt_20_600 e_mean_300_600 e_var_300_600 e_skew_300_600 e_kurt_300_600 m_mean_300_600 m_var_300_600 m_skew_300_600 m_kurt_300_600 e_mean_0_600 e_var_0_600 e_skew_0_600 e_kurt_0_600 m_mean_0_600 m_var_0_600 m_skew_0_600 m_kurt_0_600
1.26216 78628.6 30.081 -1 -1 -1 3.83498 3.53906 3.33067 3.28454 3.35441 2.81872 3.40477 103.932 6397.03 0.712273 -0.56993 -9999 -9999 -9999 -9999 181.331 3200.27 0.390816 -1.0134 -9999 -9999 -9999 -9999 182.899 11579.2 0.745498 -0.509827 319.158 9029.15 -0.580629 -0.476449 213.219 19981.3 0.920144 -0.129348 349.835 11940.9 -0.394637 -0.561007 180 21127.6 1.03791 0.156127 335.71 15986.5 -0.659164 -0.170022 423.124 7106.25 0.383078 -1.00166 399.964 5115.43 0.184314 -1.28769 161.528 21591.9 1.10757 0.344076 335.71 15986.5 -0.659164 -0.170022
0.741899 5480.91 48.9415 -1 -1 -1 1.65584 1.45738 1.50296 1.50558 1.57571 1.26396 1.63492 52.5805 3601.74 2.06859 3.83887 63.8794 3790.58 1.65586 2.45904 177.542 3084.81 0.441526 -0.939804 155.473 3332.42 0.91698 -0.431255 141.02 8982.54 1.34513 1.16983 160.828 11544.1 1.04235 -0.327069 148.734 11487.5 1.50422 1.79733 166.898 13679.3 1.19676 0.423328 89.3938 9324.31 2.16034 4.73056 111.673 12432.5 1.68153 2.13469 399.611 4771.62 0.33897 -0.640716 384.091 3286.07 1.83535 2.49605 64.2697 7560.9 2.65176 7.65511 89.2199 11252.9 1.96284 3.38462
0.910622 1078.1 16.4905 0.939493 142.097 12.5206 1.25966 0.90759 0.979797 0.991226 0.896061 1.4843 1.26319 24.1801 2139.97 2.98218 9.6992 49.8759 2955.43 1.81682 3.28314 170.025 2916.61 0.44633 -1.136 159.478 2345.51 0.876748 -0.148099 134.153 8746.14 1.4981 1.46365 118.628 4340.43 1.25912 0.914867 144.248 12391.7 1.73655 2.61696 118.628 4340.43 1.25912 0.914867 102.522 10755.3 2.13947 4.66046 75.9758 4082.53 1.72513 2.73452 401.22 6353.39 0.785131 -0.462094 -9999 -9999 -9999 -9999 31.7382 5015.88 3.93903 18.4238 52.9581 3703.37 2.02371 4.29239
0.880713 1841.84 32.4097 0.994762 186.85 5.4095 1.18984 0.961852 0.918112 0.9228 1.01673 1.09938 1.1866 47.4828 3578.01 1.99351 3.73104 77.6812 4542.45 1.30443 1.15327 168.003 3002.39 0.75985 -0.574153 172.586 3203.14 0.579526 -0.881363 137.08 7226.92 1.31694 1.03092 129.379 6864.17 1.5241 1.92037 148.263 11168 1.7476 3.01461 137.269 9970.63 1.98088 4.2858 101.694 10082.4 2.07522 4.739 111.921 9423.21 2.12052 5.23422 396.959 7433.74 0.731548 -0.837292 -9999 -9999 -9999 -9999 58.7894 7525 2.75996 8.97374 91.1346 9093.29 2.19051 5.87054
1.27463 13431.1 11.1148 1.41393 449.654 1.34167 1.67618 1.51966 1.57884 1.53307 1.58208 1.33836 1.58372 113.881 5877.43 0.695558 -0.58216 150.587 6802.53 -0.00824562 -1.17128 180.912 3170.56 0.435388 -0.983314 196.36 3039.34 0.0884551 -1.04812 182.263 11735.3 0.75978 -0.516045 227.294 11522 0.313953 -0.999471 215.198 20837.8 0.907659 -0.21111 284.788 24164.3 0.467954 -0.933478 182.111 21813.3 1.0437 0.107627 263.002 26998.8 0.456025 -0.892751 427.75 7125.92 0.327862 -1.07359 449.554 8317.69 0.125551 -1.31152 177.158 21986.9 1.05788 0.153388 256.631 27852.7 0.453476 -0.884087
0.983258 71880.6 280.085 1.08358 928.105 1.36023 2.10942 1.80975 1.86269 1.83404 1.93979 1.56084 2.03088 71.4583 4851.86 1.37725 1.11915 119.199 6937.05 0.486021 -0.928772 173.683 3090.6 0.571914 -0.808378 188.343 3222.9 0.294403 -1.09014 154.433 9676.01 1.12324 0.379962 195.636 11654.2 0.523684 -0.822484 171.359 15128.4 1.36738 1.23074 229.961 20328.2 0.722985 -0.479409 125.884 14400.8 1.67023 2.37711 201.784 22150.7 0.787646 -0.363789 410.028 6695.02 0.567407 -0.747424 419.374 6984.15 0.358989 -1.13706 97.9181 13254.3 1.93139 3.53928 188.437 22950.4 0.820467 -0.300686
1.2036 226089 139.7 1.27247 2817.16 1.45943 2.13303 1.95587 1.94869 1.91203 1.97645 1.67151 2.02239 96.1948 6186.99 0.83438 -0.337369 133.086 6736.76 0.319935 -0.98573 179.669 3178.42 0.435234 -0.970319 188.902 3334.67 0.284671 -1.11413 175.762 11086.3 0.83149 -0.33259 217.766 13381.5 0.345496 -1.13804 203.61 19083.6 1.0201 0.11516 263.878 23117.6 0.415539 -1.00165 167.792 19861.7 1.16576 0.511823 244.473 25210.4 0.448641 -0.967224 421.463 7105.53 0.392638 -0.992705 428.266 6630.3 0.303996 -0.96133 146.02 20051.7 1.26523 0.813829 234.518 26359.7 0.45902 -0.947523
1.16474 154793 123.764 -1 -1 -1 3.52826 3.22361 3.15945 3.1087 3.215 2.72117 3.29016 91.769 6047.97 0.904146 -0.196075 154.8 5413.49 0.326588 -1.14799 178.724 3151.6 0.451347 -0.94619 183.781 3846.74 0.27019 -1.44084 171.813 10716 0.874349 -0.229664 240.154 13535.4 -0.0209583 -1.45454 196.592 18049.8 1.0942 0.349014 283.262 20403.6 0.0605806 -1.17672 159.416 18618.3 1.25227 0.813827 279.56 21066.8 0.0510911 -1.16775 418.135 7082.33 0.448695 -0.959675 404.321 5293.51 0.586774 -0.563474 135.793 18617.5 1.37165 1.20275 279.56 21066.8 0.0510911 -1.16775
1.00422 431671 738.723 1.38907 489.446 1.04529 3.42424 3.00597 3.06594 3.00334 3.12783 2.55571 3.25667 70.6885 5037.28 1.30467 0.915287 144.505 6138.81 0.114935 -1.04051 173.687 3022.19 0.571284 -0.780603 187.138 3040.48 0.297484 -1.13176 153.623 9325.16 1.13782 0.470998 223.574 12443.2 0.358504 -1.04206 169.823 14588.4 1.40479 1.40461 275.13 23326.2 0.425175 -1.0185 127.841 14089.1 1.65709 2.39769 256.434 25668.3 0.426515 -0.97677 410.733 6670.97 0.555467 -0.783651 434.333 7512.29 0.139688 -1.20739 95.7519 13052.2 1.91588 3.57567 251.808 26281 0.42531 -0.967686
0.730017 120548 739.447 -1 -1 -1 3.27984 2.52959 2.66848 2.65953 2.86791 2.21365 3.21346 33.5149 2457.41 2.50105 6.85825 119.726 6554.53 0.470737 -0.820989 162.77 2708.12 0.838449 -0.291659 182.888 3295.14 0.435165 -1.17086 124.671 6361.62 1.67357 2.55433 187.224 10906.9 0.726013 -0.595216 132.162 9138.57 2.06843 4.66227 198.615 13686.4 0.806909 -0.410023 85.2944 7363.78 2.56334 7.87803 174.984 15099.7 0.825874 -0.288666 402.261 6522.64 0.700075 -0.592257 393.897 2810.73 0.454013 -1.22563 39.2344 4596.76 3.58146 16.4736 162.233 15871.9 0.836266 -0.232363
0.909703 213.639 7.45511 -1 -1 -1 1.34242 0.60206 0.823909 0.823909 0.868721 0 1.34242 17.3872 1256.39 3.32353 13.294 53.6921 1707.49 0.941496 -0.239057 169.685 1693.69 0.0379299 -1.12409 -9999 -9999 -9999 -9999 103.12 2892.32 1.11321 -0.106698 -9999 -9999 -9999 -9999 103.12 2892.32 1.11321 -0.106698 -9999 -9999 -9999 -9999 59.0239 2129.4 2.15109 4.22793 63.1075 1572.08 0.894747 -0.540173 -9999 -9999 -9999 -9999 -9999 -9999 -9999 -9999 17.3872 1256.39 3.32353 13.294 53.6921 1707.49 0.941496 -0.239057
1.33145 32588.4 9.13868 -1 -1 -1 2.61633 2.36989 2.3973 2.35826 2.41968 2.12671 2.45525 113.003 6503.5 0.593759 -0.748781 184.701 5151.9 -0.299455 -1.00633 183.435 3228.7 0.351456 -1.04821 205.361 3168.51 -0.185932 -1.03178 188.89 11873.6 0.674391 -0.633633 252.061 9857.16 -0.0341629 -1.13964 225.171 21526.2 0.823075 -0.372499 297.019 17186.1 0.166008 -1.04098 195.419 22969.1 0.913935 -0.171267 289.919 18491.6 0.114661 -0.99998 429.322 7383.11 0.29392 -1.10221 414.267 5472.16 0.264171 -1.29628 181.044 23586.3 0.957948 -0.0637524 289.919 18491.6 0.114661 -0.99998
1.0843 37817 34.868 -1 -1 -1 2.58922 2.3461 2.42023 2.38083 2.45769 2.13977 2.50495 88.4821 5374.14 1.04593 0.184017 133.882 7013.99 0.243728 -1.28127 175.177 3056.34 0.550411 -0.806511 191.084 3206 0.0483439 -1.2456 161.997 10216.8 1.01378 0.080856 200.014 10202.1 0.255759 -1.11512 184.509 17203.7 1.23772 0.742091 248.451 22967.6 0.705542 -0.491152 144.026 17092 1.45601 1.48158 221.415 25160 0.736653 -0.420527 416.834 7202.52 0.465243 -0.947539 432.435 10010.8 0.237123 -1.6911 127.231 16811.8 1.55945 1.87772 215.562 25629.1 0.743848 -0.404587
1.35785 11555.6 23.8503 1.40345 200.131 0.608213 1.88581 1.79873 1.82705 1.77994 1.78595 1.53833 1.79007 130.075 5309.07 0.599459 -0.672443 142.784 5363.17 0.274386 -1.03125 181.392 3207.27 0.409044 -1.00677 180.224 3182.83 0.293674 -1.18096 174.459 10765.8 0.84464 -0.302748 206.988 12632.3 0.510611 -0.900358 202.5 18994.2 1.06276 0.234167 262.242 25179 0.510384 -1.03121 190.737 19451.5 1.08683 0.330526 248.942 26588.6 0.525433 -0.980229 423.219 7515.73 0.380815 -1.08419 438.304 8135.97 -0.00447226 -1.40664 189.054 19565 1.08374 0.337157 248.942 26588.6 0.525433 -0.980229
1.45021 1458.02 6.00764 -1 -1 -1 1.33345 1.24107 1.31387 1.21516 1.22819 1.02119 1.23045 146.403 4044.32 0.40395 -0.530117 176.683 3674.07 0.310106 -1.34384 169.432 2832.44 0.643776 -0.719734 181.071 3471.67 0.292429 -1.37716 193.502 10019.7 0.711049 -0.641053 219.116 10645.8 0.660192 -0.859472 216.672 15758.4 0.865942 -0.262861 299.398 26733.7 0.375629 -1.38972 211.422 16200 0.848964 -0.243148 299.398 26733.7 0.375629 -1.38972 398.07 5007.84 0.610647 -0.874741 474.705 6228.51 -0.132099 -1.15682 210.408 16313.3 0.84096 -0.240608 299.398 26733.7 0.375629 -1.38972
1.48486 10897.2 6.19221 1.41538 525.704 1.14638 1.18018 1.13501 1.15374 1.12511 1.12973 1.01614 1.1251 137.22 5822.25 0.410781 -0.930725 145.441 6207.32 0.166725 -1.02663 186.586 3214.33 0.309251 -1.06267 189.067 3185.86 0.289781 -1.14458 199.528 12882.2 0.537077 -0.899053 221.827 13265.6 0.360217 -1.07502 238.938 22567.5 0.651255 -0.691433 275.955 24735.2 0.406724 -1.03691 225.583 23584 0.680479 -0.637316 262.391 26428.6 0.414261 -1.00896 428.822 6917.43 0.34353 -1.02543 439.758 7667.23 0.172185 -1.08888 223.141 23820.4 0.680488 -0.628739 256.892 27189.7 0.411601 -0.996496
1.3126 44454.3 14.0946 1.28987 1498.79 1.09975 1.59869 1.50335 1.4895 1.44976 1.48007 1.26086 1.50611 111.042 6466.95 0.608884 -0.718899 134.795 7286.96 0.327042 -1.12985 182.519 3195.52 0.368533 -1.02326 193.276 3634.62 0.138233 -1.30373 185.856 11572.5 0.720169 -0.526765 220.071 13862.2 0.310047 -1.11758 220.671 21012.8 0.875769 -0.256989 274.806 25099.2 0.339341 -1.1062 190.705 22339.7 0.965902 -0.0367567 250.781 27794.7 0.396437 -1.07181 428.745 7453.03 0.273691 -1.10908 440.83 6991.36 0.0936287 -1.1549 175.185 22930.4 1.01381 0.08935 243.474 28646 0.410143 -1.05755
