s_e esize chi2ndf_e s_m msize chi2ndf_m log10_NeNm_0_300 log10_NeNm_100_300 log10_NeNm_50_450 log10_NeNm_50_600 log10_NeNm_20_600 log10_NeNm_300_600 log10_NeNm_0_600 e_mean_0_300 e_var_0_300 e_skew_0_300 e_kurt_0_300 m_mean_0_300 m_var_0_300 m_skew_0_300 m_kurt_0_300 e_mean_100_300 e_var_100_300 e_skew_100_300 e_kurt_100_300 m_mean_100_300 m_var_100_300 m_skew_100_300 m_kurt_100_300 e_mean_50_450 e_var_50_450 e_skew_50_450 e_kurt_50_450 m_mean_50_450 m_var_50_450 m_skew_50_450 m_kurt_50_450 e_mean_50_600 e_var_50_600 e_skew_50_600 e_kurt_50_600 m_mean_50_600 m_var_50_600 m_skew_50_600 m_kurt_50_600 e_mean_20_600 e_var_20_600 e_skew_20_600 e_kurt_20_600 m_mean_20_600 m_var_20_600 m_skew_20_600 m_kurt_20_600 e_mean_300_600 e_var_300_600 e_skew_300_600 e_kurt_300_600 m_mean_300_600 m_var_300_600 m_skew_300_600 m_kurt_300_600 e_mean_0_600 e_var_0_600 e_skew_0_600 e_kurt_0_600 m_mean_0_600 m_var_0_600 m_skew_0_600 m_kurt_0_600
1.34655 31690 33.4326 1.38568 1124.12 0.838675 1.6462 1.43149 1.4595 1.43034 1.47634 1.30988 1.54927 96.7812 6977.88 0.770353 -0.538017 146.629 7095.42 0.206599 -1.12649 184.575 3354.85 0.335566 -1.0945 194.676 3760.63 0.16017 -1.27778 194.527 12629.3 0.591558 -0.837957 225.095 13123.4 0.274147 -1.11513 235.721 23207.3 0.71509 -0.611382 279.236 24312 0.356262 -1.05024 202.557 25006.9 0.8287 -0.409558 262.101 26450.7 0.37443 -1.02892 431.958 7628.7 0.286458 -1.15858 440.117 7452.77 0.116796 -1.17701 168.456 26004 0.984073 -0.102687 255.543 27351.7 0.375149 -1.01843
1.35505 214364 62.5663 1.35318 4358.91 1.41349 1.81008 1.67351 1.67809 1.64874 1.6901 1.51068 1.72167 111.79 6795.44 0.578676 -0.800454 145.022 6619.62 0.140054 -1.13375 185.323 3242.71 0.307536 -1.07721 193.344 3212.04 0.11278 -1.13417 194.957 12271.1 0.595985 -0.77013 223.024 12513.4 0.278678 -1.05687 232.121 21764 0.73707 -0.523409 274.494 23430.8 0.410605 -0.944805 201.299 23521 0.829229 -0.35298 257.481 25506.1 0.420102 -0.926875 427.38 7192.89 0.324415 -1.05053 432.677 7778.01 0.225612 -1.16026 183.58 24388.3 0.885384 -0.236962 251.388 26335.8 0.416863 -0.918633
1.22831 90694.1 99.805 1.33419 4082.95 1.05169 1.61063 1.38077 1.398 1.36491 1.43667 1.18293 1.49885 92.1859 6365.63 0.898362 -0.268586 141.939 6854.38 0.17048 -1.13916 182.269 3249 0.370641 -1.03331 194.741 3189.56 0.117981 -1.16077 183.485 12096.1 0.714791 -0.62761 224.067 13106 0.273094 -1.10877 216.237 20932.3 0.853799 -0.321426 273.574 23720.3 0.401251 -0.963098 176.756 22083.8 1.02894 0.0524313 255.726 25864.4 0.417137 -0.944255 422.844 6995.17 0.370129 -1.00355 434.756 7441.09 0.266288 -1.14568 150.054 22261.7 1.1733 0.416296 248.003 26880.1 0.417538 -0.934255
1.21371 32593 19.1232 1.31426 1042.5 0.938539 1.7409 1.55305 1.54352 1.5154 1.58245 1.28438 1.62749 99.3614 6287.97 0.788088 -0.444111 140.454 6610.46 0.185061 -1.10899 180.053 3190.47 0.427398 -0.972204 190.227 3233.67 0.161788 -1.15821 178.649 11026.3 0.793989 -0.382515 223.819 13031.3 0.291169 -1.11343 208.261 19542.4 1.004 0.0869527 267.037 22559.2 0.441232 -0.911289 170.652 20487.4 1.1472 0.471638 247.31 24862.1 0.451793 -0.887792 424.39 7516.17 0.365388 -1.09652 426.568 7346.55 0.316173 -1.15684 151.479 20708.7 1.23138 0.719679 241.545 25593.5 0.450747 -0.880363
1.40131 43297.6 10.2879 1.4479 1199.08 0.781689 1.68087 1.56011 1.53909 1.50958 1.55429 1.37326 1.57836 117.833 6828.45 0.505101 -0.894792 150.407 6715.53 0.145233 -1.15946 186.471 3280.15 0.275598 -1.11233 195.823 3543.9 0.0610367 -1.22928 201.685 12661.1 0.498664 -0.922526 231.646 13635.1 0.134474 -1.25739 239.862 22093.2 0.652434 -0.642371 282.35 23495.2 0.255303 -1.06136 211.463 24065.3 0.727877 -0.529235 271.286 25043.1 0.261794 -1.06207 424.897 7236.59 0.387417 -1.0315 430.458 6845.82 0.333767 -0.995462 197.156 24999.4 0.765568 -0.462911 266.421 25821 0.2564 -1.0562
1.50545 20795.7 3.05786 1.46138 605.985 1.28429 1.39067 1.3633 1.3323 1.30575 1.32121 1.18625 1.31608 136.225 6434.49 0.352865 -1.02867 142.42 6344.31 0.0507384 -1.16771 189.922 3351.37 0.205761 -1.138 192.598 2704.35 0.0498521 -1.09204 204.788 12632.6 0.471678 -0.916041 231.994 14248.3 0.289179 -1.12502 252.952 23772.3 0.554722 -0.851845 289.875 24880.8 0.232483 -1.20471 233.619 25492.2 0.594733 -0.790137 275.603 26936.2 0.244868 -1.18592 435.246 7370.24 0.160566 -1.1398 440.016 6881.23 0.0494422 -0.958369 229.437 25911.9 0.598578 -0.776919 267.512 28199.6 0.245519 -1.17179
1.54291 15252 15.2836 1.48573 967.571 0.750857 0.933881 0.950049 0.878155 0.862779 0.867946 0.747769 0.866228 162.954 7195.06 0.0605537 -1.15258 161.098 7103.18 -0.058618 -1.24502 201.165 4094.74 0.101555 -1.39811 204.395 3394.07 -0.0806936 -1.29735 223.298 11087.4 0.275104 -0.954132 243.084 12745.9 0.0644926 -1.11144 264.605 20201.9 0.51881 -0.692634 289.482 21376.7 0.22571 -0.978221 250.038 22045.7 0.487055 -0.689701 276.262 23426.7 0.209971 -0.987008 428.748 7450.91 0.196363 -1.10192 427.989 6666.43 0.300375 -0.998711 246.697 22523.6 0.475456 -0.688588 271.556 24225.1 0.200223 -0.98627
1.30753 100534 36.3491 1.30617 2200.95 0.879843 1.78916 1.65721 1.66909 1.63652 1.68006 1.48329 1.70735 109.94 6583.63 0.636471 -0.715491 142.042 6968.47 0.163868 -1.17374 184.105 3247.34 0.332651 -1.07971 195.32 3199.88 0.0966279 -1.14775 187.546 11702.1 0.666051 -0.639117 218.056 12513.3 0.313995 -1.02946 221.448 20791.3 0.842109 -0.29546 268.603 23505.7 0.446944 -0.910661 189.942 22187 0.944436 -0.0749299 249.695 25660.3 0.46439 -0.886322 425.06 7312.99 0.348166 -1.06056 436.83 7309.33 0.240464 -1.1119 173.827 22781.9 0.998529 0.0557732 242.159 26583.5 0.466702 -0.875835
1.38238 33320 8.01521 1.35459 1857.69 0.73502 1.32285 1.22058 1.19819 1.18069 1.21968 1.04953 1.23882 118.58 6745.38 0.523105 -0.858027 141.971 6451.77 0.243164 -1.0344 186.211 3302.72 0.322982 -1.10149 189.134 3428.04 0.228614 -1.17212 195.222 12036.5 0.573532 -0.788639 222.231 13404.9 0.279115 -1.16231 235.761 22276.1 0.717254 -0.567064 270.702 23932.6 0.405318 -0.979497 207.295 24057.9 0.794508 -0.423183 256.386 25655.6 0.417194 -0.960073 430.107 7456.22 0.266258 -1.12589 430.221 7684.83 0.288779 -1.18707 194.468 24801.4 0.829495 -0.351149 250.547 26436.3 0.415796 -0.950498
1.41651 12143.5 4.67769 1.40404 1071.5 1.04232 1.06403 0.970702 1.0053 0.974433 0.999606 0.869889 1.00015 125.604 6452.84 0.522801 -0.879506 148.241 6766.62 0.157896 -1.06908 186.323 3516.82 0.260493 -1.202 194.222 3448.87 0.24544 -1.23445 201.949 13118.7 0.511578 -0.944316 230.834 13252.6 0.302069 -1.12076 241.532 22709.8 0.618598 -0.748145 282.845 23091.9 0.297204 -1.1376 215.04 24576.3 0.695992 -0.635411 264.163 25571 0.311693 -1.10979 426.371 7181.46 0.28933 -1.06522 438.521 6156.37 0.121749 -0.969787 210.151 24940.6 0.706753 -0.613599 258.383 26399.7 0.312063 -1.09967
